"surface","target_section","target_path","ref_class","span_start","span_end","gold","note"
"707(b)","707","b","explicit","","","1","source: §274(e)(2)(B)(ii) concluding sentence; target: 26 U.S.C. §707(b)"
"(n)(2)(C)","274","n.2.c","local_structural","","","1","source: §274(o); target: §274(n)(2)(C)"
"chapter 24","24","","explicit","","","1","source: §274(e)(2)(A); target: 26 U.S.C. chapter 24"
"clause (i)","274","e.2.b.i","local_structural","5591","5601","1","source: §274(e)(2)(B)(ii); target: §274(e)(2)(B)(i)"
"clause (i)","274","j.3.a.i","local_structural","19846","19856","1","source: §274(j)(3)(A)(ii); target: §274(j)(3)(A)(i)"
"clause (ii)","274","h.6.c.ii","local_structural","15008","15019","1","source: §274(h)(6)(C)(i); target: §274(h)(6)(C)(ii)"
"clause (ii)","274","j.4.c.ii","local_structural","22164","22175","1","source: §274(j)(4)(C)(i); target: §274(j)(4)(C)(ii)"
"Clauses (i) and (ii) of subparagraph (C)","274","n.2.c.i, n.2.c.ii","local_structural","26660","26700","1","source: §274(n)(2) concluding sentence; target: §274(n)(2)(C)(i) and §274(n)(2)(C)(ii)"
"paragraph (1)","274","a.1","local_structural","528","541","1","source: §274(a)(2) lead-in; target: §274(a)(1)"
"paragraph (1)","274","b.1","local_structural","2229","2242","1","source: §274(b)(2)(A); target: §274(b)(1)"
"paragraph (1)","274","b.1","local_structural","2329","2342","1","source: §274(b)(2)(B); target: §274(b)(1)"
"paragraph (1)","274","c.1","local_structural","2893","2906","1","source: §274(c)(2) lead-in; target: §274(c)(1)"
"Paragraph (1)","274","k.1","local_structural","22615","22628","1","source: §274(k)(2) lead-in; target: §274(k)(1)"
"Paragraph (1)","274","n.1","local_structural","25023","25036","1","source: §274(n)(2) lead-in; target: §274(n)(1)"
"paragraph (1)","274","n.1","local_structural","27294","27307","1","source: §274(n)(3); target: §274(n)(1)"
"paragraph (2)","274","e.2","local_structural","6592","6605","1","source: §274(e)(3)(A); target: §274(e)(2)"
"paragraph (2)","274","j.2","local_structural","18683","18696","1","source: §274(j)(1); target: §274(j)(2)"
"paragraph (2)","274","j.2","local_structural","21305","21318","1","source: §274(j)(4)(A); target: §274(j)(2)"
"paragraph (2), (3), (4), (7), (8), or (9) of subsection (e)","274","e.2, e.3, e.4, e.7, e.8, e.9","local_structural","22678","22737","1","source: §274(k)(2)(A); target: §274(e)(2), §274(e)(3), §274(e)(4), §274(e)(7), §274(e)(8), §274(e)(9)"
"paragraph (2), (3), (4), (7), (8), or (9) of subsection (e)","274","e.2, e.3, e.4, e.7, e.8, e.9","local_structural","23915","23974","1","source: §274(m)(1)(B)(ii); target: §274(e)(2), §274(e)(3), §274(e)(4), §274(e)(7), §274(e)(8), and §274(e)(9)"
"paragraph (2), (3), (4), (7), (8), or (9) of subsection (e)","274","e.2, e.3, e.4, e.7, e.8, e.9","local_structural","25105","25164","1","source: §274(n)(2)(A); target: §274(e)(2), (3), (4), (7), (8), and (9)"
"paragraph (5)","274","h.5","local_structural","11064","11077","1","source: §274(h)(2); target: §274(h)(5)"
"paragraph (9)","274","e.9","local_structural","5377","5390","1","source: §274(e)(2)(B)(i); target: §274(e)(9)"
"part III of subchapter A of chapter 61","61","subchapter.a.part.iii","explicit","8943","8981","1","source: §274(e)(9); target: 26 U.S.C. chapter 61 subchapter A part III"
"part III of subchapter A of chapter 61","61","subchapter.a.part.iii","explicit","12659","12697","1","source: §274(h)(4)(B); target: 26 U.S.C. chapter 61 subchapter A part III"
"section 16(a) of the Securities Exchange Act of 1934","16","a|securities.exchange.act.of.1934","explicit","5699","5751","1","source: §274(e)(2)(B)(ii)(I); target: 15 U.S.C. §78p(a)"
"section 74","74","","explicit","8681","8691","1","source: §274(e)(9); target: 26 U.S.C. §74"
"section 82","82","","explicit","25317","25327","1","source: §274(n)(2)(B); target: 26 U.S.C. §82"
"section 102","102","","explicit","1670","1681","1","source: §274(b)(1); target: 26 U.S.C. §102"
"section 119(a)","119","a","explicit","27777","27791","1","source: §274(o)(2); target: 26 U.S.C. §119(a)"
"section 132(e)(1)","132","e.1","explicit","21679","21696","1","source: §274(j)(4)(B); target: 26 U.S.C. §132(e)(1)"
"section 132(e)(1)","132","e.1","explicit","21986","22003","1","source: §274(j)(4)(C)(i); target: 26 U.S.C. §132(e)(1)"
"section 132(e)(1)","132","e.1","explicit","27685","27702","1","source: §274(o)(1); target: 26 U.S.C. §132(e)(1)"
"section 132(e)(2)","132","e.2","explicit","27611","27628","1","source: §274(o)(1); target: 26 U.S.C. §132(e)(2)"
"section 132(f)","132","f","explicit","1185","1199","1","source: §274(a)(4); target: 26 U.S.C. §132(f)"
"section 143(k)(2)(B)","143","k.2.b","explicit","26510","26530","1","source: §274(n)(2)(C)(v)(II)(bb); target: 26 U.S.C. §143(k)(2)(b)"
"section 162","162","","explicit","1303","1314","1","source: §274(b)(1); target: 26 U.S.C. §162"
"section 162","162","","explicit","2647","2658","1","source: §274(c)(1); target: 26 U.S.C. §162"
"section 162","162","","explicit","3574","3585","1","source: §274(d)(1); target: 26 U.S.C. §162"
"section 162","162","","explicit","9993","10004","1","source: §274(h)(1); target: 26 U.S.C. §162"
"section 162","162","","explicit","10966","10977","1","source: §274(h)(2); target: 26 U.S.C. §162"
"section 162","162","","explicit","11558","11569","1","source: §274(h)(2) concluding sentence; target: 26 U.S.C. §162"
"section 162","162","","explicit","12122","12133","1","source: §274(h)(4)(A); target: 26 U.S.C. §162"
"section 162","162","","explicit","12785","12796","1","source: §274(h)(5); target: 26 U.S.C. §162"
"section 162","162","","explicit","18529","18540","1","source: §274(j)(1); target: 26 U.S.C. §162"
"section 162(a)(2)","162","a.2","explicit","27134","27151","1","source: §274(n)(3); target: 26 U.S.C. §162(a)(2)"
"section 212","212","","explicit","701","712","1","source: §274(a)(2)(B); target: 26 U.S.C. §212"
"section 212","212","","explicit","1318","1329","1","source: §274(b)(1); target: 26 U.S.C. §212"
"section 212","212","","explicit","2598","2609","1","source: §274(c)(1), first emergence; target: 26 U.S.C. §212"
"section 212","212","","explicit","2662","2673","1","source: §274(c)(1), second emergence; target: 26 U.S.C. §212"
"section 212","212","","explicit","3227","3238","1","source: §274(c)(2)(B); target: 26 U.S.C. §212"
"section 212","212","","explicit","18063","18074","1","source: §274(h)(7) title; target: 26 U.S.C. §212"
"section 212","212","","explicit","18120","18131","1","source: §274(h)(7) paragraph; target: 26 U.S.C. §212"
"section 212","212","","explicit","18544","18555","1","source: §274(j)(1); target: 26 U.S.C. §212"
"section 212(a)(1)(A) of the Caribbean Basin Economic Recovery Act","212","a.1.a|caribbean.basin.economic.recovery.act","explicit","","","1","source: §274(h)(6)(B); target: 19 U.S.C. §2702(a)(1)(A)"
"section 217","217","","explicit","24218","24229","1","source: §274(m)(3); target: 26 U.S.C. §217"
"section 267(b)","267","b","explicit","6126","6140","1","source: §274(e)(2)(B)(ii) concluding sentence; target: 26 U.S.C. §267(b)"
"section 267(c)(4)","267","c.4","explicit","7354","7371","1","source: §274(e)(4); target: 26 U.S.C. §267(c)(4)"
"section 280F(d)(4)","280f","d.4","explicit","3760","3778","1","source: §274(d)(3); target: 26 U.S.C. §280f(d)(4)"
"section 414(q)","414","q","explicit","7030","7044","1","source: §274(e)(4); target: 26 U.S.C. §414(q)"
"section 414(q)","414","q","explicit","20578","20592","1","source: §274(j)(3)(B)(i); target: 26 U.S.C. §414(q)"
"section 501(a)","501","a","explicit","7931","7945","1","source: §274(e)(6); target: 26 U.S.C. §501(a)"
"section 501(c)(6)","501","c.6","explicit","7788","7805","1","source: §274(e)(6); target: 26 U.S.C. §501(c)(6)"
"section 2101 of title 46","2101","title.46","explicit","26217","26241","1","source: §274(n)(2)(C)(v)(I); target: 46 U.S.C. §2101"
"section 6103(k)(4)","6103","k.4","explicit","17408","17426","1","source: §274(h)(6)(D); target: 26 U.S.C. §6103(k)(4)"
"subchapter A of chapter 78","78","subchapter.a","explicit","","","1","source: §274(h)(6)(D); target: 26 U.S.C. chapter 78 subchapter A"
"subparagraph (A)","274","a.1.a","local_structural","467","483","1","source: §274(a)(1)(B); target: §274(a)(1)(A)"
"subparagraph (A)","274","e.2.a","local_structural","5356","5372","1","source: §274(e)(2)(B)(i); target: §274(e)(2)(a)"
"Subparagraph (A)","274","m.1.b.a","local_structural","23741","23757","1","source: §274(m)(1)(B); target: §274(m)(1)(B)(A)"
"subparagraph (A)","274","n.2.a","local_structural","26886","26902","1","source: §274(n)(2) concluding sentence; target: §274(n)(2)(A)"
"subparagraph (A)(ii)","274","h.6.a.ii","local_structural","17988","18008","1","source: §274(h)(6)(E)(iii); target: §274(h)(6)(A)(ii)"
"subparagraph (B)","274","e.2.b","local_structural","4855","4871","1","source: §274(e)(2)(A); target: §274(e)(2)(b)"
"subparagraph (B)","274","h.4.b","local_structural","12036","12052","1","source: §274(h)(4)(A); target: §274(h)(4)(B)"
"subparagraph (B)","274","n.2.b","local_structural","26944","26960","1","source: §274(n)(2) concluding sentence; target: §274(n)(2)(b)"
"subparagraph (C)","274","h.6.c","local_structural","14245","14261","1","source: §274(h)(6)(A)(i); target: §274(h)(6)(C)"
"subparagraph (C)","274","h.6.c","local_structural","17330","17346","1","source: §274(h)(6)(D), first emergence in first sentence; target: §274(h)(6)(C)"
"subparagraph (C)","274","h.6.c","local_structural","17585","17601","1","source: §274(h)(6)(D), second emergence in second sentence; target: §274(h)(6)(C)"
"subparagraph (C)(ii)","274","h.6.c.ii","local_structural","17759","17779","1","source: §274(h)(6)(E)(i); target: §274(h)(6)(C)(ii)"
"subparagraph (C)(ii)","274","h.6.c.ii","local_structural","17874","17894","1","source: §274(h)(6)(E)(ii); target: §274(h)(6)(C)(ii)"
"subsection (a)","274","a","local_structural","4536","4551","1","source: §274(e) title; target: §274(a); caution: displayed ""A"" text in code formatting should be understood as lowercase ""a"""
"Subsection (a)","274","a","local_structural","4551","4565","1","source: §274(e) lead-in; target: §274(a)"
"subsection (a)","274","a","local_structural","9063","9077","1","source: §274(e)(9) concluding sentence; target: §274(a)"
"subsection (a)","274","a","local_structural","9566","9580","1","source: §274(g); target: §274(a)"
"subsection (a)","274","a","local_structural","27975","27989","1","source: §274(p); target: §274(a)"
"subsection (a)(3)","274","a.3","local_structural","7421","7438","1","source: §274(e)(4) concluding sentence; target: §274(a)(3)"
"subsection (b)","274","b","local_structural","27993","28008","1","source: §274(p); target: §274(b)"
"subsection (d)","274","d","local_structural","6741","6755","1","source: §274(e)(3)(B); target: §274(d)"
"subsection (d)","274","d","local_structural","18255","18269","1","source: §274(i); target: §274(d)"
"subsection (e)(8)","274","e.8","local_structural","27464","27482","1","source: §274(o); target: §274(e)(8); caution: do not add a standalone §274(e) target here because the text refers specifically to subsection (e)(8), and the broader paragraph (2), (3), (4), (7), (8), or (9) references are already captured."
"subsection (i)","274","i","local_structural","4477","4491","1","source: §274(d) concluding sentence; target: §274(i)"
"subsection (m)","274","m","local_structural","26823","26837","1","source: §274(n)(2) concluding sentence; target: §274(m)"
"this chapter","1","","local_structural","193","205","1","source: §274(a)(1); target: Title 26 chapter 1"
"this chapter","1","","local_structural","889","901","1","source: §274(a)(3); target: Title 26 chapter 1"
"this chapter","1","","local_structural","1102","1114","1","source: §274(a)(4); target: Title 26 chapter 1"
"this chapter","1","","local_structural","1757","1769","1","source: §274(b)(1); target: Title 26 chapter 1"
"this chapter","1","","local_structural","5127","5139","1","source: §274(e)(2)(A); target: Title 26 chapter 1"
"this chapter","1","","local_structural","9517","9529","1","source: §274(g); target: Title 26 chapter 1"
"this chapter","1","","local_structural","22357","22369","1","source: §274(k)(1); target: Title 26 chapter 1"
"this chapter","1","","local_structural","22882","22894","1","source: §274(l); target: Title 26 chapter 1"
"this chapter","1","","local_structural","23292","23304","1","source: §274(m)(1)(A); target: Title 26 chapter 1"
"this chapter","1","","local_structural","24044","24056","1","source: §274(m)(2); target: Title 26 chapter 1"
"this chapter","1","","local_structural","24193","24205","1","source: §274(m)(3); target: Title 26 chapter 1"
"this chapter","1","","local_structural","24814","24826","1","source: §274(n)(1), first emergence; target: Title 26 chapter 1"
"this chapter","1","","local_structural","24994","25006","1","source: §274(n)(1), second emergence; target: Title 26 chapter 1"
"this chapter","1","","local_structural","27532","27544","1","source: §274(o); target: Title 26 chapter 1"
"this paragraph","274","e.3","local_structural","6433","6447","1","source: §274(e)(3) lead-in; target: §274(e)(3)"
"this paragraph","274","e.4","local_structural","7064","7078","1","source: §274(e)(4), lowercase ""this paragraph"" emergence; target: §274(e)(4)"
"This paragraph","274","e.4","local_structural","7374","7388","1","source: §274(e)(4) concluding sentence, capitalized letter ""This paragraph"" emergence; target: §274(e)(4)"
