sample_index,source_section,target_section,label,note,occurrence_count,contexts
1,6694,7421,valid,,1,"ecuted until the final resolution of a proceeding begun as provided in paragraph (2). Notwithstanding the provisions of section 7421(a), the beginning of such proceeding or levy during the time such prohibition is in force may be enjoined by a proceeding in the proper court. Nothing in this paragraph shall be construed to prohibit any counterclaim for t"
2,684,671,valid,,1,"transfer to a trust by a United States person to the extent that any person is treated as the owner of such trust under section 671. (c) Treatment of trusts which become foreign trusts If a trust which is not a foreign trust becomes a foreign trust, such trust shall be treated for purposes of this section as having transferred, immediately before be"
3,565,561,valid,,1,"ent, the amount so specified shall, except as provided in subsection (b), constitute a consent dividend for purposes of section 561 (relating to the deduction for dividends paid). (b) Limitations A consent dividend shall not include— (1) an amount specified in a consent which, if distributed in money, would constitute, or be part of, a distribution "
4,1411,1401,valid,,1,"de any item taken into account in determining self-employment income for such taxable year on which a tax is imposed by section 1401(b). (d) Modified adjusted gross income For purposes of this chapter, the term “modified adjusted gross income” means adjusted gross income increased by the excess of— (1) the amount excluded from gross income under section"
5,1274A,1,valid,,1,"l be increased by an amount equal to— (A) such amount, multiplied by (B) the cost-of-living adjustment determined under section 1(f)(3) for the calendar year in which the taxable year begins, by substituting “calendar year 1988” for “calendar year 2016” in subparagraph (A)(ii) thereof. Any increase under the preceding sentence shall be rounded to the ne"
6,408A,402A,valid,,1,h IRA or a qualified rollover contribution from a designated Roth account which is a rollover contribution described in section 402A(c)(3)(A). (C) Conversions The conversion of an individual retirement plan (other than a Roth IRA) to a Roth IRA shall be treated for purposes of this paragraph as a distribution to which this paragraph applies. (D) Additional re
7,6428A,1315,invalid,"title 38, United States Code",1," pension payment payable under— (I) section 1110, 1117, 1121, 1131, 1141, or 1151 of title 38, United States Code, (II) section 1310, 1312, 1313, 1315, 1316, or 1318 of title 38, United States Code, (III) section 1513, 1521, 1533, 1536, 1537, 1541, 1542, or 1562 of title 38, United States Code, or (IV) section 1805, 1815, or 1821 of title 38, United States Code, to a veteran, surviv"
8,250,907,valid,,1,"on income For purposes of subparagraph (A), the term “domestic oil and gas extraction income” means income described in section 907(c)(1), determined by substituting “within the United States” for “without the United States”. (c) Regulations The Secretary shall prescribe such regulations or other guidance as may be necessary or appropriate to carry out th"
9,42,142,valid,,5,"nimum requirements of this subparagraph if 40 percent or more (25 percent or more in the case of a project described in section 142(d)(6)) of the residential units in such project are both rent-restricted and occupied by individuals whose income does not exceed the imputed income limitation designated by the taxpayer with respect to the respective unit. (
---
ect to which a credit is allowable by reason of this section and for which financing is provided by a bond described in section 142(a)(7), the imputed income limitation shall apply in lieu of the otherwise applicable income limitation for purposes of applying section 142(d)(4)(B)(ii). (D) Treatment of units occupied by individuals whose incomes rise above
---
he imputed income limitation shall apply in lieu of the otherwise applicable income limitation for purposes of applying section 142(d)(4)(B)(ii). (D) Treatment of units occupied by individuals whose incomes rise above limit (i) In general Except as provided in clauses (ii), (iii), and (iv), notwithstanding an increase in the income of the occupants of a low-inco
---
me exceeds the limitation described in clause (v). (iv) Deep rent skewed projects In the case of a project described in section 142(d)(4)(B), clause (ii) or (iii), whichever is applicable, shall be applied by substituting “170 percent” for “140 percent”, and— (I) in the case of clause (ii), by substituting “any low-income unit in the building is occupied by
---
 (4) Certain rules made applicable Paragraphs (2) (other than subparagraph (A) thereof), (3), (4), (5), (6), and (7) of section 142(d), and section 6652(j), shall apply for purposes of determining whether any project is a qualified low-income housing project and whether any unit is a low-income unit; except that, in applying such provisions for such purposes, the term “gro"
10,9704,9703,valid,,3,"termined, which the Combined Fund will be required to pay during the plan year for death benefits coverage described in section 9703(c). (d) Unassigned beneficiaries premium (1) Plan years ending on or before September 30, 2006 For plan years ending on or before September 30, 2006 , the unassigned beneficiaries premium for any assigned operator shall be
---
d to such account for the plan year, but such excess shall only be available for purposes of the carryover described in section 9703(b)(2)(C)(ii) (relating to carryovers of premiums not used to provide benefits), or (ii) interest credited under paragraph (2)(B) for the plan year or any preceding plan year. (C) No authority for increased payments Nothing in this p
---
agraph shall be construed to allow expenditures for health care benefits for any plan year in excess of the limit under section 9703(b)(2). (f) Applicable percentage For purposes of this section— (1) In general The term “applicable percentage” means, with respect to any assigned operator, the percentage determined by dividing the number of eligible benefic"
